category;title;price;available_quantity;sold_quantity;permalink
chromecast;Google Chromecast 3ra Generacion Smart Tv Netflix  Wifi;6055;1;250;https://articulo.mercadolibre.com.ar/MLA-677346101-google-chromecast-3ra-generacion-smart-tv-netflix-wifi-_JM
chromecast;Google Chromecast 3 Smart Tv Hdmi Usb Netflix Disney Spotify;7999;1;3;https://articulo.mercadolibre.com.ar/MLA-878319668-google-chromecast-3-smart-tv-hdmi-usb-netflix-disney-spotify-_JM
chromecast;Google Chromecast 3 Smart Tv Hdmi Wifi Fuente Original;6390;1;5;https://articulo.mercadolibre.com.ar/MLA-898538224-google-chromecast-3-smart-tv-hdmi-wifi-fuente-original-_JM
chromecast;Google Chromecast 3rd Generation  Full Hd  Carbón;7699;1;5;https://articulo.mercadolibre.com.ar/MLA-901333521-google-chromecast-3rd-generation-full-hd-carbon-_JM
chromecast;Google Chromecast 3ra Streaming Netflix Chrome Cast;8570;1;500;https://articulo.mercadolibre.com.ar/MLA-654558316-google-chromecast-3ra-streaming-netflix-chrome-cast-_JM
chromecast;Google Chromecast 3 Gen Smart Tv Hdmi Caja C/ Fuente;7299;50;5;https://articulo.mercadolibre.com.ar/MLA-885640080-google-chromecast-3-gen-smart-tv-hdmi-caja-c-fuente-_JM
chromecast;Google Chromecast 3 Gen Smart Tv Android Hdmi 1080p Adapter;6139.9;1;2;https://articulo.mercadolibre.com.ar/MLA-884854846-google-chromecast-3-gen-smart-tv-android-hdmi-1080p-adapter-_JM
chromecast;Google Chromecast 3rd Generation  Full Hd  Carbón Altavista;5809;1;1;https://articulo.mercadolibre.com.ar/MLA-902892481-google-chromecast-3rd-generation-full-hd-carbon-altavista-_JM
chromecast;Google Chromecast 2 Smart Tv Usb Wifi Hdmi Android Stream;7539;50;5;https://articulo.mercadolibre.com.ar/MLA-869458999-google-chromecast-2-smart-tv-usb-wifi-hdmi-android-stream-_JM
chromecast;Google Chromecast 3ra Generacion Smart Tv Netflix  Wifi;6055;1;200;https://articulo.mercadolibre.com.ar/MLA-677346055-google-chromecast-3ra-generacion-smart-tv-netflix-wifi-_JM
chromecast;Google Chromecast Cromecast Nc2-6a5 Netflix Youtube Spotify;8498.9;1;5;https://articulo.mercadolibre.com.ar/MLA-874302440-google-chromecast-cromecast-nc2-6a5-netflix-youtube-spotify-_JM
