category;title;price;available_quantity;sold_quantity;permalink
google home mini;Soporte Stand Para Google Home Mini Negro;3909;1;5;https://articulo.mercadolibre.com.ar/MLA-861286938-soporte-stand-para-google-home-mini-negro-_JM
google home mini;Google Home Mini Parlante Asistente Virtual Charcoal Calidad;7999.99;1;0;https://articulo.mercadolibre.com.ar/MLA-886634812-google-home-mini-parlante-asistente-virtual-charcoal-calidad-_JM
google home mini;Google Home Mini Parlante Original Gris Ade Ramos;5999;1;0;https://articulo.mercadolibre.com.ar/MLA-878679776-google-home-mini-parlante-original-gris-ade-ramos-_JM
google home mini;Google Home Mini Asistente Virtual Español Caja Sellada;5299;1;0;https://articulo.mercadolibre.com.ar/MLA-897109960-google-home-mini-asistente-virtual-espanol-caja-sellada-_JM
google home mini;Google Home Mini Asistente Virtual Spotify Netflix Youtube;7470;1;5;https://articulo.mercadolibre.com.ar/MLA-838212566-google-home-mini-asistente-virtual-spotify-netflix-youtube-_JM
google home mini;Google Home Mini Parlante Asistente Virtual Control X Voz;15059.83;500;0;https://articulo.mercadolibre.com.ar/MLA-884627772-google-home-mini-parlante-asistente-virtual-control-x-voz-_JM
google home mini;Soporte Stand Para Google Home Mini Charcoal;4609;1;0;https://articulo.mercadolibre.com.ar/MLA-860969801-soporte-stand-para-google-home-mini-charcoal-_JM
google home mini;Soporte Stand Estilo Reloj Para Google Home Mini Blanco;6579;1;1;https://articulo.mercadolibre.com.ar/MLA-860966852-soporte-stand-estilo-reloj-para-google-home-mini-blanco-_JM
google home mini;Soporte Stand Para Google Home Mini Plateado;4619;1;2;https://articulo.mercadolibre.com.ar/MLA-860969907-soporte-stand-para-google-home-mini-plateado-_JM
google home mini;Google Home Mini Asistente Virtual + Fuente;6490;1;0;https://articulo.mercadolibre.com.ar/MLA-874345304-google-home-mini-asistente-virtual-fuente-_JM
google home mini;Parlante Inteligente Google Home Mini Asistente Virtual;6769;1;0;https://articulo.mercadolibre.com.ar/MLA-878702580-parlante-inteligente-google-home-mini-asistente-virtual-_JM
google home mini;Asistente De Google Home Mini;6499;1;0;https://articulo.mercadolibre.com.ar/MLA-872904951-asistente-de-google-home-mini-_JM
google home mini;Google Home Mini Asistente Virtual;4250;1;0;https://articulo.mercadolibre.com.ar/MLA-883595510-google-home-mini-asistente-virtual-_JM
google home mini;Asistente De Google Home Mini Envío Gratis Y Cuotas Sin Int;6999;1;0;https://articulo.mercadolibre.com.ar/MLA-877010115-asistente-de-google-home-mini-envio-gratis-y-cuotas-sin-int-_JM
google home mini;Google Mini En Caja Nuevo;5150;1;0;https://articulo.mercadolibre.com.ar/MLA-882454709-google-mini-en-caja-nuevo-_JM
google home mini;Google Home Mini;5000;1;0;https://articulo.mercadolibre.com.ar/MLA-886564082-google-home-mini-_JM
google home mini;Soporte Para Google Home Mini;600;1;2;https://articulo.mercadolibre.com.ar/MLA-885757042-soporte-para-google-home-mini-_JM
google home mini;Google Home Mini;6500;1;0;https://articulo.mercadolibre.com.ar/MLA-900086632-google-home-mini-_JM
